url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/dolovera-gel-otc343307,,Denzai Innovations & Therapeutics Pvt Ltd,,,,
https://www.1mg.com/otc/deemark-ortho-balm-premium-50gm-each-otc945323,Deemark Ortho Balm Premium,Deemark Health Care Pvt Ltd,,"Tail Parna Tail, Tejovathi, Tejpatta, Sati, Karpura, Pudina, Gandhpura, White Petroleum Jelly",Apply the balm 3-4 times a day with a light massage,
https://www.1mg.com/otc/tynor-l-24-elbow-support-oac-small-otc345820,Tynor L-24 Elbow Support Oac,Tynor Orthotics Pvt. Ltd.,It is primarily used to provide support and stability to an injured elbow.,"Promotes easy elbow movement, Gives better comfort, Facilitates better compression and grip, Has excellent aesthetics and retains body heat effectively, Promotes quicker healing, Available sizes: S (7""-10""), M (10""-12""), L (12""-14""), XL (14""-16"")",Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
https://www.1mg.com/otc/lp-160xt-x-tremus-back-support-small-otc331192,LP #160XT X-Tremus Back Support,LP Support,"It is recommended in injury prevention, low back pain, and mild muscle strain.","X pattern Stable Contoured Structure surrounded forward from behind provides lumbar spine encirclement protection, C pattern Magic Power Band contoured to fit the core muscles preserves energy consumption, and enhances sports explosion, Semi-rigid stays positioned on the back support and stabilize the lumbar spine without limiting performance, Pocket closure design makes it easier to wrap in front, Durable Fitting Knit with high permeability fabric ensures wearing durability and breathability",Use as per requirement or as directed by the physician.,"Read the label carefully before use, Keep out of the reach of children, Store in a cool dry place away from direct sunlight"
https://www.1mg.com/otc/wellon-ks02-hinged-knee-support-open-patella-large-otc387637,Wellon Hinged Knee Support Open Patella KS-02,Mana Medical,It offers a natural and non-invasive pain relief and is helpful in treatment of inflammation and pain around the knees.,"Hinged with Open Patella is made of elastic cotton with aluminium splints on both side of the knee to give required movement, It is designed with a large dorsal opening to ensure no buckling and no vaso constriction, Magnetic field helps to improves blood circulation, It improves sleeping activity levels and reduces the stress due to knee pain, Very effective as athletic support for rheumatic or arthritic pain and post operative conditions, Model: Knee Support Hinged - (Open Patella), Part Number: KS-02, Size in Number: 16 - 18 inch, Suitable for both men and women, Designed For:Knee",,"Read the manual carefully before use, Keep out of the reach of children, Only for external use, Avoid use during pregnancy, Avoid use if using pacemakers, suffering from haemophills, have surgically implanted screws, undergoing dialysis, allergic to metal or have wound"
https://www.1mg.com/otc/samson-ls0417-ring-seat-pillow-universal-grey-otc487781,Samson LS-0417 Ring Seat Pillow Universal Grey,Samson Scientifics & Surgicals,"It is used in reducing pressure on the coccyx, tailbone, legs and hip bones while sitting.",,Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
https://www.1mg.com/otc/presens-hot-and-cold-pack-regular-otc545759,Presens Hot and Cold Pack Large,Presens Healthcare,The hot and cold pack helps provide relief from pain or swelling.,"All-around use:Ideal for clinical, home, office, school, and sports use, First aid essential:Provides efficient hot and cold therapy, For all ages:For adult’s and children’s relief, Post-surgery use:Can be used after wisdom tooth operation, cosmetic procedure, etc., Fast relief:Store it in a freeze for quick use as needed, Portable:Small and lightweight design make it easy to be carried around, Contents:CMC. Sugar, Water",,"It is advisable to check that the temperature is not too extreme against the skin, It is recommended that the gel pack is wrapped in cloth before applying it to the skin, Read the label carefully before use, Store in a cool and dry place, Keep out of reach of children"
https://www.1mg.com/otc/ortho-aid-natural-pain-relief-ointment-otc943285,Ortho-Aid Natural Pain Relief Ointment,Leeford Healthcare Ltd,,"Pudina ka Phool (Mentha arvensis), Kapoor (Cinnamomum), Ajowan ka Phool (Trachyspermum ammi), Gandhpura (Gaultheria ka tel), Nilgiri ka tel (Eucalyptus globulus), Lavang ka tel (Syzygium aromaticum), Tarpin ka tel (Pinus roxburghii), Jaiphal tel (Myristica fragrans), Ortho aid ointment provides effective and long-lasting relief, It relieves cough, cold, headache, backache and muscular pains, It contains gandhapura oil that is beneficial for the stiffness of muscles, It has pudina leaves that provide relief from cough and cold, Ayurvedic formulation is highly effective and free from side effects","Apply sufficient quantity on the painful area, at least 2:3 times a day, as a thin layer, rub and massage on the affected area, Or as advised by your healthcare practitioner","Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children"
https://www.1mg.com/otc/medi-duomed-thigh-length-stocking-xl-beige-otc569854,,Isha Surgical,,,,
https://www.1mg.com/otc/swasthya-sankul-organic-peeda-kashmak-oil-otc916176,Swasthya Sankul Organic Peeda Kashmak Oil(8ml Each),Tarus Pharmaceutical,,"Ajwain, camphor, eucalyptus, wintergreen and turmeric oils., Ajwain relaxes the uterine muscles and reduces menstrual cramps, Eucalyptus oil soothes and relaxes the muscles and helps in cold, Wintergreen oil relieves pain, inflammation, and headaches, Turmeric is known for its anti-inflammatory and antiseptic properties, Camphor helps deal with the pain in the joints",,"Read the label carefully before use, Keep out of reach of children, Maintain hygiene"
https://www.1mg.com/otc/acupressure-slipper-for-women-otc518558,Acupressure Slipper for Women,Kapil Plastic Mould,It is primarily used to increase blood circulation and relieve pains and aches.,"This acupressure slipper helps to promote sleep, It is beneficial for increasing blood circulation, It provides relief from pains and aches, It helps to condition neuropathy, It also helps to promote relaxation and reduce stress",As directed by the physician.,"Keep it away from directed sunlight, Keep it indoors, Keep it away from children"
https://www.1mg.com/otc/sleepsia-premium-quality-thick-contour-gel-infused-pillow-large-blue-star-fabric-otc504639,,Sleepsia India Pvt Ltd,,,,
https://www.1mg.com/otc/witzion-small-grey-contoured-lumbar-sacral-back-support-belt-otc513900,,Witzion,,,,
https://www.1mg.com/otc/smart-care-ice-bag-otc372973,Smart Care Ice Bag,Saify Health Care and Medi Devices India Pvt Ltd,"To provide perfect cold therapy for strained and tired muscles caused by sports activities, back pain, etc.","Material: water-repellent cloth, Made from high-quality materials and has a leak-proof design, Soft fibre provides comfort and complete coverage of injured area, Comes in a compact design, is small, handy and easy to carry, It has a large cup for ice cubes, Reaches all contours of the body and relieves pains and swelling","Just put some ice in the bag and wrap it in a clean towel, Place this ice pack on the affected area","Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, Keep away from direct exposure to flame, Keep away from sharp and pointed objects"
https://www.1mg.com/otc/medtrix-functional-open-patella-hinge-knee-support-xl-black-otc503669,,Medtrix,,,,
https://www.1mg.com/otc/dyna-3d-knitted-knee-cap-xl-black-right-otc392267,,Dynamic Techno Medicals Pvt. Ltd.,,,,
https://www.1mg.com/otc/zeodic-gel-otc448272,,Zephon Life Sciences,,,,
https://www.1mg.com/otc/medtrix-open-patella-knee-cap-small-beige-otc503749,,Medtrix,,,,
