url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/kairali-kairtis-oil-otc325774,Kairali Kairtis Oil,Kairali Ayurvedic Products Pvt. Ltd.,,"Kharayashti, Sida cordifolia, Rt., Sigru, Moringa oleifera, St.Bk, Arka, Calotropis gigantea, Rt. , Vatari, Ricinus communis, Rt. , Sadachara, Strobilanthes heynianus, Pl., Sadaphala, Aegle marmelos, Rt., Madhuparni, Gmelina arborea, Rt., Thakari, Premna corymbosa, Rt., Patala, Stereospermum colais, Rt. , Dunduka, Oroxylum indicum, Rt. , Asana, Pterocarous marsupium, Rt., Takara, Cassia tora, Pl., Sunthi, Zingiber officinale, Rz., Abhaya, Terminalia chebula, Fr.R , Rasna, Alpinia galanga, Rz., Karpasa, Gossypium herbaceum, Sd., Tila, Sesamum indicum, Sd.Ol, Kanjika, Dhanyamlam, Gokshira, Cow's Milk, Karpoora, Cinnamomum camphora, Exd., Kanmadam, Mineral Pitch, Oil, Provides relief from knee pain, backache, and muscular pain:The product is effective in alleviating discomfort associated with knee pain, backache, and muscular pain, offering relief from these common ailments, Provides comfort to the joints:It promotes joint comfort, reducing discomfort and improving the overall well-being of the joints, Removes stiffness and inflammation:This product helps alleviate stiffness and reduces inflammation in the affected areas, enhancing flexibility and comfort, Improves mobility of joints:It supports increased joint mobility, making it easier to perform daily activities and maintain an active lifestyle, Effective in concerns associated with arthritis, spondylosis, and rheumatic pain:This product is particularly useful for managing conditions like arthritis, spondylosis, and rheumatic pain, providing relief and improving the quality of life for individuals dealing with these issues, Kolakulathadi choornam (medicated potli):Potli has amazing medicinal value that helps to reduce the swelling and inflammation in the bones, Country mallow (sida cordifolia):It has anti-inflammatory properties that help to relieve nerve pain, joint pains, headache and body pain, Drumstick (moringa oleifera):Manages the pain and inflammatory conditions caused by arthritis, Gossypium herbaceum:Acts as an excellent pain reliever. One of the anti-inflammatory herbs for decreasing pain and swelling",,"Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine, Avoid eating tobacco or drinking alcohol during the course"
https://www.1mg.com/otc/bjain-rhus-toxicodendron-dilution-30-ch-otc434330,Bjain Rhus Toxicodendron Dilution,Bjain Pharmaceuticals Pvt. Ltd.,,,Take 3-5 drops of the dilution in 1 teaspoon of water twice a day or as directed by the physician.,
https://www.1mg.com/otc/longlife-ll99-foot-calf-and-leg-massager-dark-brown-otc530421,,Veridicus Health Care Pvt Ltd,,,,
https://www.1mg.com/otc/eagle-rinoex-syrup-otc497303,Nature's Truth Good Nite Relaxing Essential Oil,Eagle Ayurvedic Pharmacy,,"Lavender oil, Tangerine oil, Bergamot oil, Geranium oil, Cyperus oil, Chamomile blue oil, Lavender oil promotes relaxation and believed to treat anxiety, fungal infections, allergies, depression, insomnia, eczema, nausea, and menstrual cramps, Tangerine essential oil has antiseptic properties which are highly beneficial to the skin, with its antifungal, antibacterial and wound-healing properties, Bergamot oil may help reduce anxiety, which could promote better sleep, Geranium oil reduces anxiety, depression, infection, and pain management","Enjoy the benefits of pure essential oils in a massage, your bath, or in a diffuser, For a massage, dilute at a recommended rate of 5 drops of essential oils to 10mL of Nature’s Truth Unscented Base Oil","Read the label carefully before use, Keep out of the reach of children, Store at a temperature below 25-degree Celsius and 40 % humidity in a cool and dry place, Should be protected from direct light"
https://www.1mg.com/otc/morpheme-arthcare-massage-oil-otc338180,Morpheme Arthcare Massage Oil,Morpheme Remedies,,"Camphor (Cinnamomum camphora), Peppermint (Mentha piperita), Shuddha Guggulu (Commiphora mukul), Garlic (Allium sativum), Gandhaprasarini (Paederia foetida), Ajwain (Trachyspermum ammi), Nirgundi (Vitex negundo, Erand (Ricinus communis), Rasna (Pluchea lanceolata), Ashwagandha (Withania somnifera), Kadamb (Anthocephalus indicus), Padmakh (Prunus cerasoides), Devdaru (Cedrus deodara), Shuddha Kuchla (Strychnos nux-vomica), Krishna Marich (Piper nigrum), Oil base (Til oil)., Relieves joint and muscle pain, easing discomfort and promoting relaxation, Supports joint flexibility and mobility, aiding in easier movement, Eases muscle tension and stress, promoting relaxation and relief, Contains herbs with anti-inflammatory benefits, reducing swelling and soreness, Stimulates blood flow to affected areas, aiding in healing and reducing stiffness, 100 ml, Oil, Men and Women","Apply 2-3 times a day on the affected part or as directed by the physician, Massage firmly till the oil gets absorbed","Store in a cool and dry place away from direct sunlight, Read the product label carefully before use, Keep out of reach of children, For external use only"
https://www.1mg.com/otc/runtej-white-balm-otc517017,Runtej Red Balm,Parsham Group,,"Refer to the label., Can help ease stiffness and muscular pain and backache, May aid in reducing inflammation and soreness, Gets absorbed into the skin easily",Apply the required amount to the affected area.,"Read the label carefully before use, Store in a cool and dry place, Keep out of reach of children"
https://www.1mg.com/otc/beurer-hk-25-basic-heating-pad-otc331618,Beurer HK 25 Basic Heating Pad,Beurer,It helps to reduce body pain,"The heating pad has accurate electronic temperature regulation, The device comes with three different illuminated temperature settings, It has a detachable power cord and a hygienic plastic protective cover that is washable, Size approx. 40 (L) x 30 (W) cm, Cover machine-washable at 40°C",Use as directed on the label,"Store in a dry and hygienic place, Read the label before use, Keep out of reach of small children"
https://www.1mg.com/otc/dr-med-elastic-ankle-support-with-adjustable-strap-dr-a009-large-beige-otc377567,,A-MI Global Co Ltd,,,,
https://www.1mg.com/otc/witzion-varicose-vein-stocking-large-beige-premium-otc514970,,Witzion,,,,
https://www.1mg.com/otc/eagle-dardher-tablet-otc497286,Eagle Dardher Tablet,Eagle Ayurvedic Pharmacy,,"It helps reduce muscle strain and pain, It is an anti-inflammatory formula that helps reduce swelling and prevents muscle aches",Use as directed in the label.,"Store in a cool and dry place away from direct sunlight, Read the product label carefully before use, Keep out of reach of children"
https://www.1mg.com/otc/acupressure-roller-wooden-beak-otc518736,,Kapil Plastic Mould,,,,
https://www.1mg.com/otc/dr-ortho-combo-pack-of-pain-relief-oil-60ml-spray-75ml-otc575696,,Dr Ortho Ayurvedic,,,,
https://www.1mg.com/otc/vissco-5601-platinum-elbow-support-with-silicone-pressure-pad-medium-otc448590,Vissco 5601 Platinum Elbow Support with Silicone Pressure Pad,Vissco Rehabilitation Aids Pvt. Ltd.,It is primarily used in the condition of tendonitis (lateral epicondylitis).,,Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
https://www.1mg.com/otc/deemark-ortho-balm-premium-50gm-each-otc945322,Deemark Ortho Balm Premium,Deemark Health Care Pvt Ltd,,"Tail Parna Tail, Tejovathi, Tejpatta, Sati, Karpura, Pudina, Gandhpura, White Petroleum Jelly",Apply the balm 3-4 times a day with a light massage,
https://www.1mg.com/otc/sbl-calcarea-carbonica-0-3-lm-otc361646,,SBL Pvt Ltd,,,,
https://www.1mg.com/otc/witzion-varicose-vein-stocking-small-beige-premium-otc514968,,Witzion,,,,
https://www.1mg.com/otc/adel-thymolum-dilution-200-ch-otc332698,ADEL Thymolum Dilution,Adel Pekana Germany,,"Thymol, 10 ml, Liquid, It can help to control increased urination, It may help provide relief from back pain, It controls the production of uric acid in urine",,"Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of children, Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc. while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine"
https://www.1mg.com/otc/tynor-k-09-heel-cup-silicone-pair-large-otc335738,Tynor K-09 Heel Cup Silicon (Pair),Tynor Orthotics Pvt. Ltd.,"Anatomically designed for better comfort and fitting, it provides even pressure distribution throughout.","Made of silicon with the high cushioning coefficient, Next to natural adipose, shock absorption & energy return, They include a softer center pad which absorbs excess pressure over the heel, Thin Construction, can easily be put into shoes, Convenient and comfortable",Use as per requirement or as directed by the physician.,"Read the label carefully before use, Keep out of the reach of children, Store in a cool and dry place"
https://www.1mg.com/otc/p-care-a1010-contoured-back-support-large-otc658549,,PR Flexmake Private Limited,,,,
https://www.1mg.com/otc/acupressure-slipper-magnet-and-accu-points-unistar-otc518402,,Kapil Plastic Mould,,,,
https://www.1mg.com/otc/vissco-shoulder-support-with-adjustable-stretchable-strap-large-otc344551,Vissco Core 0812 Shoulder Support,Vissco Rehabilitation Aids Pvt. Ltd.,"It is used to help reduce inflammation, pain or mild instabilities to the shoulder joint.","It allows patients to gradually return to full range of motion after an injury or operation, It provides warmth, support and pain relief to the shoulder joint, It can be worn comfortably under clothing, It has a hook and loop closure for easy adjustment, It is made up of fabric thus it does not cause any type of irritation, It ensures compression retention support and stability control",Use as directed by the physician.,"Store in a cool and dry place, Keep out of the reach of children, Read the manual carefully"
https://www.1mg.com/otc/sbl-tuberculinum-0-7-lm-otc362602,,SBL Pvt Ltd,,,,
https://www.1mg.com/otc/dr-willmar-schwabe-india-amoora-rohituka-dilution-12-ch-otc395940,,Dr Willmar Schwabe India Pvt Ltd,,,,
https://www.1mg.com/otc/dr-willmar-schwabe-india-thea-chinensis-mother-tincture-q-otc391583,,Dr Willmar Schwabe India Pvt Ltd,,,,
https://www.1mg.com/otc/mgrm-abdominal-bind-0601-xxl-otc390474,MGRM Abdominal Bind 0601 Medium,MGRM Medicare Ltd.,Post-surgical compression support in the abdominal region.,"Dress-resistant & High-quality material:the abdominal binder is durable and top quality for long-lasting comfort, Special ergonomic design:Ergonomically streamlined to give your abdomen the perfect support, Breathable and moisture-regulating material:Breathable fabric allows the air to circulate so that no sweat or moisture remains in the area. This way you keep the abdomen cool and comfortable all day long, Flexible stays:Helps prevent edge rollover when worn, Velcro closure:For easy application so that it can be quickly positioned anywhere on the binder for holding tubing and drainage bulbs, without pins or tape, Available in the following sizes:S (28""-32""), M (32""-36""), L (36""-40""), XL (40""-44""), XXL (44""-48""), Product Care:Hand wash using cold water and mild soap. Air dry in the shade. Do not brush hard. Do not squeeze. No machine wash","Wrap the binder around the waist, ensuring that the desired abdominal region is properly enclosed, Pull both ends of the binder to the required compression and close with velcro","Read the label carefully before use, Avoid physical damage, Caution: Be careful while using this as it may cause compression over surgical incisions"
