url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/dr.-johns-j-36-headache-drop-otc387631,Dr. Johns J-36 Headache Drop,Nanak Laboratories Pvt Ltd,,"Spigelia, Belladonna, Glonoinum, Nux vomica, Dr. Johns J-36 Headache Drop is beneficial for relieving severe headaches and migraines, It helps in reducing stress, anxiety and slight giddiness with tremors, It also aids in reducing semi-lateral headaches, scalp soreness and vertigo due to intoxication",Use as directed on the label or as advised by your physician.,"Read the label carefully before use, Do not exceed the recommended dosage, Store in a cool and dry place away from direct sunlight, Keep out of reach of children"
https://www.1mg.com/otc/bjain-gelsemium-sempervirens-dilution-30c-otc438894,Bjain Magnesia Carbonica Dilution,Bjain Pharmaceuticals Pvt. Ltd.,,,Take 3-5 drops of the dilution in 1 teaspoon of water twice a day or as directed by the physician.,
https://www.1mg.com/otc/dr.-reckeweg-tellurium-metallicum-dilution-200-ch-otc331591,Dr. Reckeweg Tellurium Metallicum Dilution,Dr Reckeweg & Co,,"Tellurium Metallicum, 11ml, Dilution, This formula is primarily used for the management of skin ailments such as acne, pimple eruptions, dry skin and scars, It is also useful in managing severe headaches and related symptoms such as dizziness, and nausea and promotes better sleep, This dilution may help to relieve the burning sensation and itchiness in the eyes and restrict the discharge of pus from the eye, It may help to manage conditions associated with ears such as the presence of abscess behind the ears, discharge of pus, itching and inflammation of the ear, deafness and sensation of tremor in the ears, It can also be extremely helpful in the management of pain below the spinal cord",,"Read the label carefully before use, Store in a cool and dry place, Keep out of reach of children, Do not exceed the recommended dose, Self-medication is not advised"
https://www.1mg.com/otc/sbl-rhus-toxicodendron-0-25-lm-otc365104,,SBL Pvt Ltd,,,,
https://www.1mg.com/otc/tata-1mg-knee-support-knee-cap-for-men-women-sports-pain-relief-comfort-small-black-otc811801,Tata 1mg Knee Support Lite,Tata 1mg Healthcare Solutions Private Limited,,,,
https://www.1mg.com/otc/sbl-cuprum-aceticum-dilution-6-ch-otc352331,SBL Cuprum Aceticum Dilution,SBL Pvt Ltd,,"Neutral acetate of copper, Alcohol, Treatment of leprosy and psoriasis, Reduces chronic labor pain of women, Reduces facial pain of cheek bone and right ear, Helps in relieving severe headache, Relieves chronic throbbing and crying tendencies, Provides relief from spasmodic pain in the stomach, Relieves fever with cough, Helps in reducing chest constriction",Dosage should be directed by the physician.,"Read the label carefully before use, Maintain 30 minutes gap between any food, drink and any other medicine, Avoid any strong smell in mouth during taking the medicine like garlic, coffee, camphor, etc, It can also be taken with allopathic medicines, Do not exceed the recommended dosage, Keep out of the reach of children"
https://www.1mg.com/otc/dr-willmar-schwabe-india-cinchona-officinalis-dilution-10m-ch-otc399285,,Dr Willmar Schwabe India Pvt Ltd,,,,
https://www.1mg.com/otc/bjain-aesculus-hippocastanum-dilution-3x-otc429157,Bjain Aesculus Hippocastanum Dilution,Bjain Pharmaceuticals Pvt. Ltd.,,,As directed by the physician,
https://www.1mg.com/otc/sloan-s-balm-for-neck-back-knee-muscular-pain-otc314928,Sloan's Balm,Piramal Enterprises Ltd,,"Capsicum extract, Oil gaultheria, Pudina, Karpoora tailam, Nilgiri tailam, Gandha biroja tailam, Devadaru tailam, Ointment base, The balm contains the goodness of five ayurvedic herbal oils to help provide relief from the pain associated with neck, back, knee, muscle and sprain, This formulation has analgesic and pain-relieving ingredients that help to soothe and relieve pain, It has a unique heat action with capsicum extract that helps provide relief from pain, It contains capsicum extract derived from hot peppers containing pain-relieving properties, which helps in reducing pain and inflammation, The oil gaultheria is extracted from wintergreen leaves and has a cooling effect on the skin to help provide relief from pain and discomfort, Pudina, or mint, has a soothing effect on the skin that can help in reducing inflammation and swelling, Karpoora tailam or camphor oil stimulates the nerves and helps increase blood flow to the affected area to reduce pain and inflammation, Nilgiri tailam, or eucalyptus oil contains a cooling and soothing effect on the skin to help relieve pain and inflammation, Gandha biroja tailam, or Indian wintergreen oil, has pain-relieving properties to help reduce inflammation and swelling, Balm",,"Read the label carefully before use, Avoid contact with eyes, Do not apply on open wounds, Keep out of reach of children"
https://www.1mg.com/otc/sloan-s-liniment-kills-pain-reduces-swelling-strengthens-muscles-ligaments-otc315107,Sloan's Liniment,Piramal Enterprises Ltd,,Oil,,
https://www.1mg.com/otc/jiva-pain-calm-oil-pain-reliever-for-joint-pain-back-pain-frozen-shoulder-sprain-muscle-soreness-otc329877,Jiva Pain Calm Oil,Jiva Ayurvedic Pharmacy Ltd,,,,
https://www.1mg.com/otc/adel-bio-combination-11-tablet-otc339637,,Adel Pekana Germany,,,,
https://www.1mg.com/otc/himalaya-rumalaya-pain-relief-gel-quick-relief-from-body-pain-ayurvedic-gel-otc90714,Himalaya Rumalaya Gel,Himalaya Wellness Company,,"30 gm, Gel",Apply a small quantity of the gel to the tender area and lightly massage it in or as directed by the physician.,
https://www.1mg.com/otc/sbl-valeriana-officinalis-mother-tincture-q-otc348882,,SBL Pvt Ltd,,,,
https://www.1mg.com/otc/moov-cool-therapy-gel-otc964102,Moov Cool Therapy Gel,Reckitt Benckiser Healthcare Pvt. Ltd.,,"Each gram of gel contains: Pudina Satva (Mentha piperita) extract (Aerial parts of plant) 8.0% w/w, Preservative: Benzyl Alcohol IP, Colouring Agents: Brilliant Blue FCF, Tartrazine Yellow., Gel., 20g.",Apply a thin film of the gel to the affected area and massage gently. Repeat 3-4 times daily for best results.,
https://www.1mg.com/otc/bjain-aesculus-hippocastanum-dilution-1000-ch-otc429180,Bjain Aesculus Hippocastanum Dilution,Bjain Pharmaceuticals Pvt. Ltd.,,,As directed by the physician,
https://www.1mg.com/otc/bjain-aesculus-hippocastanum-dilution-6c-otc429235,Bjain Aesculus Hippocastanum Dilution,Bjain Pharmaceuticals Pvt. Ltd.,,,As directed by the physician,
